,song,lyrics
0,Easy On Me,"[('[Intro', ': imght] ""are you recording bro? ayt"" greener pastures, greener pastures, greener pastures [hook : imght] madeleni ya rihlaza, madeleni ya rihlaza madeleni\u2005ya\u2005rihlaza, madeleni ya\u2005rihlaza madeleni ya rihlaza, madeleni ya rihlaza madeleni\u2005ya rihlaza, madeleni ya rihlaza madeleni ya rihlaza, madeleni ya rihlaza madeleni\u205fya\u205frihlaza,\u205fmadeleni ya rihlaza madeleni\u205fya rihlaza, madeleni\u205fya rihlaza madeleni ya rihlaza, madeleni ya rihlaza'), ('[Verse 1 : Sleeky Junior]', 'heart\'s darker than darth vader is my lady suffocating in the background? tryna find her in my heart, but it\'s too dark ""baby, baby, are you hanging in there?"" goddamn! i forgot, that you\'re scared of the dark tryna be an oligarch, so i left you with the heart till it bled in your bed, you would handle it with heart i would poke yours with a dart, focusing on art wake up every morning not knowing if we\'re good i really need a time machine to take me to the now for good i never really it was about dethroning the sound i thought a thot would be the problem, that\'s sound 99 problems, that\'s abound i never thought one of them would be you especially about, greener pastures, but then [pre hook : sleeky, otabella, imght] do we get everything that we want? no do we get everything that we want? no do we get everything that we want? no do we get everything that we want? no that we want? no that we want? no do we get everything that we want? no that we want? no [hook : imght & otabella] madeleni ya rihlaza, madeleni ya rihlaza madeleni ya rihlaza, madeleni ya rihlaza madeleni ya rihlaza, madeleni ya rihlaza madeleni ya rihlaza, madeleni ya rihlaza madeleni ya rihlaza, madeleni ya rihlaza madeleni ya rihlaza, madeleni ya rihlaza madeleni ya rihlaza, madeleni ya rihlaza madeleni ya rihlaza, madeleni ya rihlaza'), ('[Bridge : Otabella]', ""we live and we learn we love and we live... life ain't always easy on the other side greener pastures""), ('[Verse 2 : Sleeky Junior]', 'if you wanna go through my phone, that\'s alright you are prolly gonna find something said, that you\'ve never said to me before you will feel like tumi\'s upping the volume  of your jealousy then the love that im proposing becomes a fallacy was it piracy? of your heart? cause i used my network to get you vho-pertu so i said if you hurt i will patch you so... here\'s a bandage i told you about them, you said we\'d manage with them ""everybody panics"", i said it\'s sad that we\'re there now... i gotta think about it with my head bowed, cause you hold me down, but i told you they\'re part of the package, i guess you underestimated how heavy it was [song fades...] written by khathutshelo singo, otabil beatrice swalarsk-parry and colin maanda magwedz')]"
1,Stay,"[('[Chorus: The Kid LAROI]', ""i do the same thing i told you that i never would i told you i'd change, even when i knew i never could i know that i can’t find nobody else as good as you i need you to stay, need you to stay, hey (oh)""), ('[Verse 1: The Kid LAROI]', ""i get drunk, wake up, i'm wasted still i realize the time that i wasted here i feel like you can't feel the way i feel oh, i’ll be fucked up if you can't be right here""), ('[Pre-Chorus: The Kid LAROI]', ""oh, ooh-woah (oh, ooh-woah, ooh-woah) oh, ooh-woah (oh, ooh-woah, ooh-woah) oh, ooh-woah (oh, ooh-woah, ooh-woah) oh, i'll be fucked up if you can't be right here""), ('[Chorus: The Kid LAROI]', ""i do the same thing i told you that i never would i told you i'd change, even when i knew i never could i know that i can't find nobody else as good as you i need you to stay, need you to stay, hey i do the same thing i told you that i never would i told you i'd change, even when i knew i never could i know that i can't find nobody else as good as you i need you to stay, need you to stay, hey""), ('[Verse 2: Justin Bieber]', ""when i’m away from you, i miss your touch (ooh) you’re the reason i believe in love it's been difficult for me to trust (ooh) and i’m afraid that i'ma fuck it up ain't no way that i can leave you stranded 'cause you ain’t ever left me empty-handed and you know that i know that i can't live without you so, baby, stay""), ('[Pre-Chorus: Justin Bieber,  The Kid LAROI  &  Both ]', ""oh, ooh-woah ( oh, ooh-woah, ooh-woah ) oh, ooh-woah ( oh, ooh-woah, ooh-woah ) oh, ooh-woah ( oh, ooh-woah, ooh-woah ) i'll be fucked up if you can't be right here""), ('[Chorus: The Kid LAROI  with Justin Bieber ]', ""i do the same thing i told you that i never would i told you i'd change, even when i knew i never could i know that i can't find nobody else as good as you i need you to stay,  need you to stay, hey i do the same thing i told you that i never would i told you i'd change,  even when i knew i never could i know that i can't find nobody else as good as you i need you to stay, need you to stay, hey""), ('[Outro: The Kid LAROI &  Justin Bieber ]', 'woah-oh i need you to stay, need you to stay, he')]"
2,Industry Baby,"[('[Intro', "": lil nas x] ( d-d-daytrip took it to ten, hey ) baby back, ayy, couple racks, ayy couple grammys on him, couple plaques, ayy that's a fact, ayy, throw it back, ayy throw it back, ayy""), ('[Pre-Chorus: Lil Nas X]', ""and this one is for the champions i ain't lost since i began, yeah funny how you said it was the end, yeah then i went did it again, yeah""), ('[Chorus: Lil Nas X]', ""i told you long ago on the road i got what they waiting for i don't run from nothing, dog get your soldiers, tell 'em i ain't layin' low you was never really rooting for me anyway when i'm back up at the top, i wanna hear you say he don't run from nothin', dog get your soldiers, tell 'em that the break is over""), ('[Verse 1: Lil Nas X]', ""uh, need to, uh need to get this album done need a couple number onеs need a plaque on every song need mе like one with nicki now tell a rap nigga i don't see ya, hah i'm a pop nigga like bieber, hah i don't fuck bitches, i'm queer, hah but these niggas bitches like madea, yeah, yeah, yeah, ayy (yeah) oh, let's do it i ain't fall off, i just ain't release my new shit i blew up, now everybody tryna sue me you call me nas, but the hood call me doobie, yeah""), ('[Pre-Chorus: Lil Nas X]', ""and this one is for the champions i ain't lost since i began, yeah funny how you said it was the end, yeah then i went did it again, yeah""), ('[Chorus: Lil Nas X]', ""i told you long ago on the road i got what they waiting for (i got what they're waiting for) i don't run from nothing, dog get your soldiers, tell 'em i ain't layin' low (bitch, i ain't runnin' from nowhere) you was never really rooting for me anyway (ooh, ooh) when i'm back up at the top, i wanna hear you say (ooh, ooh) he don't run from nothin', dog get your soldiers, tell 'em that the break is over (yeah)""), ('[Verse 2: Jack Harlow]', ""my track record so clean, they couldn't wait to just bash me i must be gettin' too flashy, y'all shouldn't have let the world gas me (woo) it's too late 'cause i'm here to stay and these girls know that i'm nasty (mmm) i sent her back to her boyfriend with my handprint on her ass cheek city talkin', we takin' notes tell 'em all to keep makin' posts wish he could, but he can't get close og so proud of me that he chokin' up while he makin' toasts i'm the type that you can't control, said i would, then i made it so i don't clear up rumors (ayy), where's y'all sense of humor? (ayy) i'm done makin' jokes 'cause they got old like baby boomers turned my haters to consumers, i make vets feel like they juniors (juniors) say your time is comin' soon, but just like oklahoma (mmm) mine is comin' sooner (mmm), i'm just a late bloomer (mmm) i didn't peak in high school, i'm still out here gettin' cuter (woo) all these social networks and computers got these pussies walkin' 'round like they ain't losers""), ('[Chorus: Lil Nas X]', ""i told you long ago on the road i got what they waiting for (i got what they waiting for) i don't run from nothing, dog get your soldiers, tell 'em i ain't layin' low (bitch, i ain't runnin' from nowhere) you was never really rooting for me anyway when i'm back up at the top, i wanna hear you say he don't run from nothin', dog get your soldiers, tell 'em that the break is over""), ('[Outro: Lil Nas X]', ""yeah i'm the industry baby, mmm i'm the industry baby yea"")]"
3,Fancy Like,"[('[Verse 1]', ""ayy my girl is bangin', she's so low maintenance don't need no champagne-poppin' entertainment take her to wendy's, can't keep her off me she wanna dip me like them fries in her frosty""), ('[Pre-Chorus]', 'but every now\u205fand\u205fthen,\u205fwhen i get\u205fpaid i gotta spoil\u205fmy baby with an upgrade   (yeah) ayy, ayy, ayy'), ('[Chorus]', ""yeah, we fancy like applebee's on a date night got some bourbon street steak with the oreo shake get some whipped cream on the top, too two straws, one check, girl, i got you bougie like natty in the styrofoam squeaky-squeakin' in the truck bed all the way home with some alabama-jamma, she my dixieland delight (hey) that's how we do, how we do, fancy like""), ('[Post-Chorus]', 'ooh fancy like, ooh fancy like, ooh fancy like, ooh'), ('[Verse 2]', ""uh don't need no tesla to impress her  (don't need no tesla to impress her) my girl is happy rollin' on a vespa   (there she go) don't need no mansion to get romancin ' (ooh, woo) she's super fine, double wide, slow dancin'  (slow dancin')""), ('[Pre-Chorus]', 'but every now and then, when i get paid i gotta spoil my baby with an upgrade   (yeah) ayy, ayy, ayy'), ('[Chorus]', ""yeah, we fancy like applebee's on a date night (that's right) got some bourbon street steak with the oreo shake (ayy) get some whipped cream on the top, too (gotta add that whipped cream) two straws, one check, girl, i got you (girl, i got you) bougie like natty in the styrofoam (styrofoam) squeaky-squeakin' in the truck bed all the way home (all the way home) with some alabama-jamma, she my dixieland delight (hey) that's how we do, how we do, fancy like""), ('[Bridge]', ""my new, clean blue jeans without the holes in 'em country kisses on my lips without  theskoal in 'em yeah, she probably gon' be keepin' some victoria's secrets maybe a little maybelline but she don't need it in the kitchen light, radio slows down boxed wine, then her up-do goes down""), ('[Chorus]', ""ayy yeah, we fancy like applebee's on a date night (that's right) got some bourbon street steak with the oreo shake (ayy) get some whipped cream on the top, too (gotta add that whipped cream) two straws, one check, girl, i got you bougie like natty in the styrofoam (styrofoam) squeaky-squeakin' in the truck bed all the way home (all the way home) with some alabama-jamma, she my dixieland delight (hey) that's how we do, how we do, fancy lik"")]"
4,Bad Habits,"[('[Intro', '] (one, two, three, four) ooh, ooh'), ('[Verse 1]', ""every time you come around, you know i can't say no every time the sun goes down, i let you take control i can feel the paradise before my world implodes and tonight had something wonderful""), ('[Chorus]', ""my bad habits lead to late nights endin' alone conversations with a stranger i barely know swearin' this'll be the last, but it probably won't i got nothin' left to lose, or use, or do my bad habits lead to wide eyes starin' at space and i know i lose control of the things that i say yeah, i was lookin' for a way out, now i can't escape nothin' happens after two, it's truе, it's true my bad habits lead to you""), ('[Post-Chorus]', 'ooh-ooh, ooh-ooh my bad habits lead to you ooh-ooh, ooh-ooh my bad habits lеad to you'), ('[Verse 2]', ""every pure intention ends when the good times start fallin' over everything to reach the first time's spark it started under neon lights and then it all got dark i only know how to go too far""), ('[Chorus]', ""my bad habits lead to late nights endin' alone conversations with a stranger i barely know swearin' this'll be the last, but it probably won't i got nothin' left to lose, or use, or do my bad habits lead to wide eyes starin' at space and i know i lose control of the things that i say yeah, i was lookin' for a way out, now i can't escape nothin' happens after two, it's true, it's true my bad habits lead to you""), ('[Post-Chorus]', 'ooh-ooh, ooh-ooh my bad habits lead to you ooh-ooh, ooh-ooh'), ('[Bridge]', ""we took the long way 'round and burned 'til the fun ran out, now""), ('[Chorus]', ""my bad habits lead to late nights endin' alone conversations with a stranger i barely know swearin' this'll be the last, but it probably won't i got nothin' left to lose, or use, or do my bad habits lead to wide eyes starin' at space and i know i lose control of the things that i say yeah, i was lookin' for a way out, now i can't escape nothin' happens after two, it's true, it's true my bad habits lead to you""), ('[Post-Chorus]', 'ooh-ooh, ooh-ooh my bad habits lead to you ooh-ooh, ooh-ooh my bad habits lead to yo')]"
5,Way 2 Sexy,[]
6,Shivers,"[('[Verse 1]', ""i took an arrow to the heart i never kissed a mouth that tastes like yours strawberries and a somethin' more ooh, yeah, i want it all lipstick on my guitar fill up the engine, we can drive real far go dancin' underneath the stars ooh, yeah, i want it all mmm, you got me feelin' like""), ('[Pre-Chorus]', ""i wanna be that guy, i wanna kiss your eyes i wanna drink that smile, i wanna feel like i'm like my soul's on fire, i wanna stay up all day and all night yeah, you got me singin' like""), ('[Chorus]', 'ooh, i love it when you do it like that and when you\'re close up, give me thе shivers oh, baby, you wanna dance \'til the sunlight cracks and whеn they say the party\'s over, then we\'ll bring it right back and we\'ll say, ""ooh, i love it when you do it like that"" and when you\'re close up, give me the shivers oh, baby, you wanna dance \'til the sunlight cracks and when they say the party\'s over, then we\'ll bring it right back'), ('[Verse 2]', ""into the car on the backseat in the moonlit dark wrap me up between your legs and arms ooh, i can't get enough you know you could tear me apart put me back together and take my heart i never thought that i could love this hard ooh, i can't get enough mmm, you got me feelin' like""), ('[Pre-Chorus]', ""i wanna be that guy, i wanna kiss your eyes i wanna drink that smile, i wanna feel like i'm like my soul's on fire, i wanna stay up all day and all night yeah, you got me singin' like""), ('[Chorus]', 'ooh, i love it when you do it like that and when you\'re close up, give me the shivers oh, baby, you wanna dance \'til the sunlight cracks and when they say the party\'s over, then we\'ll bring it right back and we\'ll say, ""ooh, i love it when you do it like that"" and when you\'re close up, give me the shivers oh, baby, you wanna dance \'til the sunlight cracks and when they say the party\'s over, then we\'ll bring it right back'), ('[Bridge]', ""baby, you burn so hot, you make me shiver with the fire you got, this thing we started i don't want it to stop you know you make me shiver baby, you burn so hot, you make me shiver with the fire you got, this thing we started i don't want it to stop you know you make me shiver yeah, you got me singin' like""), ('[Chorus]', 'ooh, i love it when you do it like that and when you\'re close up, give me the shivers oh, baby, you wanna dance \'til the sunlight cracks and when they say the party\'s over, then we\'ll bring it right back (oh, no) and we\'ll say, ""ooh, i love it when you do it like that"" and when you\'re close up, give me the shivers oh, baby, you wanna dance \'til the sunlight cracks and when they say the party\'s over, then we\'ll bring it right back, he')]"
7,Good 4 U,"[('[Intro', '] (ah)'), ('[Verse 1]', ""well, good for you, i guess you moved on really easily you found a new girl and it only took a couple weeks remember when you said that you wanted to give me the world? (world) and good for you, i guess that you've been workin' on yourself i guess that therapist i found for you, she really helped now you can be a better man for your brand new girl (girl)""), ('[Chorus]', ""well, good for you you look happy and healthy, not me if you ever cared to ask good for you you're doin' great out there without me, baby god, i wish that i could do that i've lost my mind, i've spent the night cryin' on the floor of my bathroom but you're so unaffected, i really don't get it but i guess good for you""), ('[Verse 2]', ""well, good for you, i guess you're gettin' everything you want (ah) you bought a new car and your career's really takin' off (ah) it's like we never even happened baby, what the fuck is up with that? (ah) and good for you, it's like you never even met me remember when you swore to god i was the only person who ever got you? well, screw that, and screw you you will never have to hurt the way you know that i do""), ('[Chorus]', ""well, good for you you look happy and healthy, not me if you ever cared to ask good for you you're doin' great out there without me, baby god, i wish that i could do that i've lost my mind, i've spent the night cryin' on the floor of my bathroom but you're so unaffected, i really don't get it but i guess good for you""), ('[Break]', '(ah-ah-ah-ah) (ah-ah-ah-ah)'), ('[Bridge]', ""maybe i'm too emotional but your apathy's like a wound in salt maybe i'm too emotional or maybe you never cared at all maybe i'm too emotional your apathy is like a wound in salt maybe i'm too emotional or maybe you never cared at all""), ('[Chorus]', ""well, good for you you look happy and healthy, not me if you ever cared to ask good for you you're doin' great out there without me, baby like a damn sociopath i've lost my mind, i've spent the night cryin' on the floor of my bathroom but you're so unaffected, i really don't get it but i guess good for you""), ('[Outro]', 'well, good for you, i guess you moved on really easil')]"
8,Need To Know,"[('[Intro', '] yeah'), ('[Chorus]', ""wanna know what it's like (like) baby, show me what it's like (like) i don't really got no type (type) i just wanna fuck all night yeah-yeah, oh-woah-woah (oh, ooh, mmm) baby, i need to know, mmm (yeah, need to know) i just been fantasizin' (size) and we got a lotta time (time) baby, come throw the pipe (pipe) gotta know what it's like (like) yeah-yeah, oh-woah-woah baby, i need to know, mmm""), ('[Verse 1]', ""what's your size? (size) add, subtract, divide ('vide) daddy don't throw no curves (curves) hold up, i'm goin' wide (wide) we could just start at ten (ten) then we can go to five (five) i don't play with my pen (pen) i mean what i writе yeah-yeah, woah-woah-woah i just can't help but bе sexual (oh) tell me your schedule (yeah) i got a lotta new tricks for you, baby just sayin' i'm flexible (i will) i do what i can to get you off (i will) might just fuck him with my makeup on (i will) eat it like i need an apron on (yeah, oh) eat it 'til i need to change my thong (yeah, ayy) we could do it to your favorite song (yeah, ayy) take a ride into the danger zone you know my nigga be buggin' me i just be wonderin' if you can fuck on me better itchin' for me like an ugly sweater need it in me like a chuck e. need cheddar i need to know""), ('[Chorus]', ""wanna know what it's like (like) baby, show me what it's like (like) i don't really got no type (type) i just wanna fuck all night yeah-yeah, oh-woah-woah (oh, ooh, mmm) baby, i need to know, mmm (yeah, need to know) i just been fantasizin' (size) and we got a lotta time (time) baby, come throw the pipe (pipe) gotta know what it's like (like) yeah-yeah, oh-woah-woah baby, i need to know, mmm""), ('[Bridge]', 'you\'re exciting, boy, come find me your eyes told me, ""girl, come ride me"" fuck that feeling both us fighting could he try me? (yeah) mmm, most likely'), ('[Verse 2]', ""tryna see if you could handle this ass prolly give his ass a panic attack sorry if i gave a random erection prolly thinkin' i'm a telekinetic oh, wait, you a fan of the magic? poof, pussy like an alakazam i heard from a friend of a friend that that dick was a ten out of ten i can't stand it, just one night me clink with the drink, gimme a sip tell me what's your kink, gimme the dick spank me, slap me, choke me, bite me (ew) oh, wait, i can take it (ah) give a fuck 'bout what your wifey's sayin' (yeah)""), ('[Chorus]', ""wanna know what it's like (like) baby, show me what it's like (like) i don't really got no type (type) i just wanna fuck all night yeah-yeah, oh-woah-woah (oh, ooh, mmm) baby, i need to know, mmm (yeah, need to know) i just been fantasizin' (size) and we got a lotta time (time) baby, come throw the pipe (pipe) gotta know what it's like (like) yeah-yeah, oh-woah-woah baby, i need to know, mm"")]"
9,Levitating,"[('[Verse 1]', ""if you wanna run away with me, i know a galaxy and i can take you\u2005for\u2005a ride i had\u2005a premonition that we fell into\u2005a rhythm where the music don't stop for life glitter in the sky, glitter in my eyes shining just the way i like if you're feeling like you need a little bit of company you met me at the perfect time""), ('[Pre-Chorus]', ""you want me, i want you, baby my sugarboo, i'm levitating the milky way, we're renegading yeah, yeah, yeah, yeah, yeah""), ('[Chorus]', ""i got you, moonlight, you're my starlight i need you all night, come on, dance with me i'm levitating you, moonlight, you're my starlight ( you're the  moonlight ) i need you all night, come on, dance with me i'm levitating""), ('[Verse 2]', ""i believe that you're for me, i feel it in our energy i see us written in the stars we can go wherever, so let's do it now or never baby, nothing's ever, ever too far glitter in the sky, glitter in our eyes shining just the way we are i feel like we're forever every time we get together but whatever, let's get lost on mars""), ('[Pre-Chorus]', ""you want me, i want you, baby my sugarboo, i'm levitating the milky way, we're renegading yeah, yeah, yeah, yeah, yeah""), ('[Chorus]', ""i got you, moonlight, you're my starlight i need you all night, come on, dance with me i'm levitating you, moonlight, you're my starlight ( you're the moonlight ) i need you all night, come on, dance with me i'm levitating""), ('[Post-Chorus]', ""you can fly away with me tonight you can fly away with me tonight baby, let me take you for a ride yeah, yeah, yeah, yeah, yeah i'm levitating (woo) you can fly away with me tonight you can fly away with me tonight baby, let me take you for a ride yeah, yeah, yeah, yeah, yeah (woo)""), ('[Bridge]', ""my love is like a rocket, watch it blast off and i'm feeling so electric, dance my ass off and even if i wanted to, i can't stop yeah, yeah, yeah, yeah, yeah my love is like a rocket, watch it blast off and i'm feeling so electric, dance my ass off and even if i wanted to, i can't stop yeah, yeah, yeah, yeah, yeah""), ('[Pre-Chorus]', ""you want me, i want you, baby my sugarboo, i'm levitating the milky way, we're renegading""), ('[Chorus]', ""i got you (yeah), moonlight, you're my starlight i need you all night ( all night ), come on, dance with me i'm levitating (woo)""), ('[Post-Chorus]', ""you can fly away with me tonight ( tonight ) you can fly away with me tonight baby, let me take you for a ride yeah, yeah, yeah, yeah, yeah ( take you for a ride ) i'm levitating (woo) you can fly away with me tonight ( tonight ) you can fly away with me tonight baby, let me take you for a ride yeah, yeah, yeah, yeah, yeah ( let me take you for a  ride )""), ('[Chorus]', ""i got you, moonlight, you're my starlight ( you are my starlight ) i need you all night, come on, dance with me ( come on, dance with me ) i'm levitating you, moonlight, you're my starlight ( you're the moonlight ) i need you all night, come on, dance with me i'm levitatin"")]"
