,song,artist
0,Blinding Lights,The Weeknd
1,Radioactive,Imagine Dragons
2,Sail,AWOLNATION
3,I'm Yours,Jason Mraz
4,How Do I Live,LeAnn Rimes
5,Counting Stars,OneRepublic
6,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
7,Rolling In The Deep,Adele
8,Foolish Games/You Were Meant For Me,Jewel
9,Before He Cheats,Carrie Underwood
10,I Hope,Gabby Barrett Featuring Charlie Puth
11,Ho Hey,The Lumineers
12,You And Me,Lifehouse
13,Circles,Post Malone
14,Demons,Imagine Dragons
15,Need You Now,Lady Antebellum
16,Macarena (Bayside Boys Mix),Los Del Rio
17,All Of Me,John Legend
18,Somebody That I Used To Know,Gotye Featuring Kimbra
19,Shape Of You,Ed Sheeran
20,Thinking Out Loud,Ed Sheeran
21,How To Save A Life,The Fray
22,Smooth,Santana Featuring Rob Thomas
23,Dark Horse,Katy Perry Featuring Juicy J
24,Lights,Ellie Goulding
25,Use Somebody,Kings Of Leon
26,Higher,Creed
27,Unchained Melody,The Righteous Brothers
28,Perfect,Ed Sheeran
29,Uptown Funk!,Mark Ronson Featuring Bruno Mars
30,Some Nights,fun.
31,I Gotta Feeling,The Black Eyed Peas
32,The Way You Love Me,Faith Hill
33,I Don't Want To Wait,Paula Cole
34,Amazed,Lonestar
35,Barely Breathing,Duncan Sheik
36,Missing,Everything But The Girl
37,Someone You Loved,Lewis Capaldi
38,Wake Me Up!,Avicii
39,Stay With Me,Sam Smith
40,Cruise,Florida Georgia Line Featuring Nelly
41,"Hey, Soul Sister",Train
42,Unwell,matchbox twenty
43,Hanging By A Moment,Lifehouse
44,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
45,Shut Up And Dance,WALK THE MOON
46,Pompeii,Bastille
47,If I Die Young,The Band Perry
48,Drops Of Jupiter (Tell Me),Train
49,Kryptonite,3 Doors Down
50,Breathe,Faith Hill
51,Too Close,Next
52,My Ex's Best Friend,Machine Gun Kelly X blackbear
53,Mood,24kGoldn Featuring iann dior
54,Go Crazy,Chris Brown & Young Thug
55,Before You Go,Lewis Capaldi
56,Don't Start Now,Dua Lipa
57,The Bones,Maren Morris
58,Without Me,Halsey
59,Happier,Marshmello & Bastille
60,High Hopes,Panic! At The Disco
61,Sicko Mode,Travis Scott
62,Eastside,"benny blanco, Halsey & Khalid"
63,Girls Like You,Maroon 5 Featuring Cardi B
64,Better Now,Post Malone
65,Say You Won't Let Go,James Arthur
66,Closer,The Chainsmokers Featuring Halsey
67,Can't Stop The Feeling!,Justin Timberlake
68,Cheap Thrills,Sia Featuring Sean Paul
69,Don't Let Me Down,The Chainsmokers Featuring Daya
70,Stressed Out,twenty one pilots
71,Stitches,Shawn Mendes
72,See You Again,Wiz Khalifa Featuring Charlie Puth
73,Trap Queen,Fetty Wap
74,Truly Madly Deeply,Savage Garden
75,How's It Going To Be,Third Eye Blind
76,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
77,I Like It,"Cardi B, Bad Bunny & J Balvin"
78,Love Lies,Khalid & Normani
79,Meant To Be,Bebe Rexha & Florida Georgia Line
80,Thunder,Imagine Dragons
81,Believer,Imagine Dragons
82,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
83,That's What I Like,Bruno Mars
84,Watch Me,Silento
85,Viva La Vida,Coldplay
86,What Hurts The Most,Rascal Flatts
87,Here Without You,3 Doors Down
88,Adore You,Harry Styles
89,Tequila,Dan + Shay
90,Congratulations,Post Malone Featuring Quavo
91,Shake It Off,Taylor Swift
92,Call Me Maybe,Carly Rae Jepsen
93,You Belong With Me,Taylor Swift
94,Paralyzer,Finger Eleven
95,Someday,Nickelback
96,Bad Guy,Billie Eilish
97,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
98,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
99,Love Story,Taylor Swift
100,Just Dance,Lady Gaga Featuring Colby O'Donis
101,Rockstar,Nickelback
102,How You Remind Me,Nickelback
103,Run-Around,Blues Traveler
104,Lucid Dreams,Juice WRLD
105,Better,Khalid
106,Youngblood,5 Seconds Of Summer
107,The Hills,The Weeknd
108,Lean On,Major Lazer & DJ Snake Featuring MO
109,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
110,Little Talks,Of Monsters And Men
111,F**k You! (Forget You),CeeLo Green
112,Just The Way You Are,Bruno Mars
113,Teardrops On My Guitar,Taylor Swift
114,Big Girls Don't Cry,Fergie
115,I Hope You Dance,Lee Ann Womack
116,This Kiss,Faith Hill
117,Counting Blue Cars,Dishwalla
118,Sucker,Jonas Brothers
119,New Rules,Dua Lipa
