song,artist
Blinding Lights,The Weeknd
Radioactive,Imagine Dragons
Sail,AWOLNATION
I'm Yours,Jason Mraz
How Do I Live,LeAnn Rimes
Counting Stars,OneRepublic
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
Rolling In The Deep,Adele
Foolish Games/You Were Meant For Me,Jewel
Before He Cheats,Carrie Underwood
I Hope,Gabby Barrett Featuring Charlie Puth
Ho Hey,The Lumineers
You And Me,Lifehouse
Circles,Post Malone
Demons,Imagine Dragons
Need You Now,Lady Antebellum
Macarena (Bayside Boys Remix),Los Del Rio
All Of Me,John Legend
Somebody That I Used To Know,Gotye Featuring Kimbra
Shape Of You,Ed Sheeran
Thinking Out Loud,Ed Sheeran
How To Save A Life,The Fray
Smooth,Santana Featuring Rob Thomas
Dark Horse,Katy Perry Featuring Juicy J
Lights,Ellie Goulding
Use Somebody,Kings Of Leon
Higher,Creed
Unchained Melody,The Righteous Brothers
Perfect,Ed Sheeran
Uptown Funk!,Mark Ronson Featuring Bruno Mars
Some Nights,fun.
I Gotta Feeling,The Black Eyed Peas
The Way You Love Me,Faith Hill
I Don't Want To Wait,Paula Cole
Amazed,Lonestar
Barely Breathing,Duncan Sheik
Missing,Everything But The Girl
Someone You Loved,Lewis Capaldi
Wake Me Up!,Avicii
Stay With Me,Sam Smith
Cruise,Florida Georgia Line Featuring Nelly
"Hey, Soul Sister",Train
Unwell,matchbox twenty
Hanging By A Moment,Lifehouse
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
Shut Up And Dance,WALK THE MOON
Pompeii,Bastille
If I Die Young,The Band Perry
Drops Of Jupiter (Tell Me),Train
Kryptonite,3 Doors Down
Breathe,Faith Hill
Too Close,Next
My Ex's Best Friend,Machine Gun Kelly X blackbear
Mood,24kGoldn Featuring iann dior
Go Crazy,Chris Brown & Young Thug
Before You Go,Lewis Capaldi
Don't Start Now,Dua Lipa
The Bones,Maren Morris
Without Me,Halsey
Happier,Marshmello & Bastille
High Hopes,Panic! At The Disco
Sicko Mode,Travis Scott
Eastside,"benny blanco, Halsey & Khalid"
Girls Like You,Maroon 5 Featuring Cardi B
Better Now,Post Malone
Say You Won't Let Go,James Arthur
Closer,The Chainsmokers Featuring Halsey
Can't Stop The Feeling!,Justin Timberlake
Cheap Thrills,Sia Featuring Sean Paul
Don't Let Me Down,The Chainsmokers Featuring Daya
Stressed Out,twenty one pilots
Stitches,Shawn Mendes
See You Again,Wiz Khalifa Featuring Charlie Puth
Trap Queen,Fetty Wap
Truly Madly Deeply,Savage Garden
How's It Going To Be,Third Eye Blind
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
I Like It,"Cardi B, Bad Bunny & J Balvin"
Love Lies,Khalid & Normani
Meant To Be,Bebe Rexha & Florida Georgia Line
Thunder,Imagine Dragons
Believer,Imagine Dragons
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
That's What I Like,Bruno Mars
Watch Me,Silento
Viva La Vida,Coldplay
What Hurts The Most,Rascal Flatts
Here Without You,3 Doors Down
Adore You,Harry Styles
Tequila,Dan + Shay
Congratulations,Post Malone Featuring Quavo
Shake It Off,Taylor Swift
Call Me Maybe,Carly Rae Jepsen
You Belong With Me,Taylor Swift
Paralyzer,Finger Eleven
Someday,Nickelback
Bad Guy,Billie Eilish
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
Love Story,Taylor Swift
Just Dance,Lady Gaga Featuring Colby O'Donis
Rockstar,Nickelback
How You Remind Me,Nickelback
Run-Around,Blues Traveler
Lucid Dreams,Juice WRLD
Better,Khalid
Youngblood,5 Seconds Of Summer
The Hills,The Weeknd
Lean On,Major Lazer & DJ Snake Featuring MO
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
Little Talks,Of Monsters And Men
F**k You! (Forget You),CeeLo Green
Just The Way You Are,Bruno Mars
Teardrops On My Guitar,Taylor Swift
Big Girls Don't Cry,Fergie
I Hope You Dance,Lee Ann Womack
This Kiss,Faith Hill
Counting Blue Cars,Dishwalla
Sucker,Jonas Brothers
New Rules,Dua Lipa
All About That Bass,Meghan Trainor
Happy,Pharrell Williams
It's Time,Imagine Dragons
Dynamite,Taio Cruz
Apologize,Timbaland Featuring OneRepublic
Bubbly,Colbie Caillat
With Arms Wide Open,Creed
You Make Me Wanna...,Usher
Nobody Knows,The Tony Rich Project
No Guidance,Chris Brown Featuring Drake
Talk,Khalid
Cake By The Ocean,DNCE
Chandelier,Sia
Wanted,Hunter Hayes
Since U Been Gone,Kelly Clarkson
Breakaway,Kelly Clarkson
It's Been Awhile,Staind
Together Again,Janet
Follow You Down/Til I Hear It From You,Gin Blossoms
Forever After All,Luke Combs
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Dancing With A Stranger,Sam Smith & Normani
